[rosmaster.master][INFO] 2016-06-09 15:34:03,263: +PUB [/gazebo/link_states] /gazebo http://cmeintel-desktop:40256/
[rosmaster.master][INFO] 2016-06-09 15:34:03,263: +PUB [/gazebo/model_states] /gazebo http://cmeintel-desktop:40256/
[rosmaster.master][INFO] 2016-06-09 15:34:03,264: +SERVICE [/gazebo/set_link_properties] /gazebo http://cmeintel-desktop:40256/
[rosmaster.master][INFO] 2016-06-09 15:34:03,264: +SERVICE [/gazebo/set_physics_properties] /gazebo http://cmeintel-desktop:40256/
[rosmaster.master][INFO] 2016-06-09 15:34:03,265: +SERVICE [/gazebo/set_model_state] /gazebo http://cmeintel-desktop:40256/
[rosmaster.master][INFO] 2016-06-09 15:34:03,265: +SERVICE [/gazebo/set_model_configuration] /gazebo http://cmeintel-desktop:40256/
[rosmaster.master][INFO] 2016-06-09 15:34:03,266: +SERVICE [/gazebo/set_joint_properties] /gazebo http://cmeintel-desktop:40256/
[rosmaster.master][INFO] 2016-06-09 15:34:03,266: +SERVICE [/gazebo/set_link_state] /gazebo http://cmeintel-desktop:40256/
[rosmaster.master][INFO] 2016-06-09 15:34:03,269: +SUB [/gazebo/set_link_state] /gazebo http://cmeintel-desktop:40256/
[rosmaster.master][INFO] 2016-06-09 15:34:03,271: +SUB [/gazebo/set_model_state] /gazebo http://cmeintel-desktop:40256/
[rosmaster.master][INFO] 2016-06-09 15:34:03,271: +SERVICE [/gazebo/pause_physics] /gazebo http://cmeintel-desktop:40256/
[rosmaster.master][INFO] 2016-06-09 15:34:03,272: +SERVICE [/gazebo/unpause_physics] /gazebo http://cmeintel-desktop:40256/
[rosmaster.master][INFO] 2016-06-09 15:34:03,272: +SERVICE [/gazebo/apply_body_wrench] /gazebo http://cmeintel-desktop:40256/
[rosmaster.master][INFO] 2016-06-09 15:34:03,273: +SERVICE [/gazebo/apply_joint_effort] /gazebo http://cmeintel-desktop:40256/
[rosmaster.master][INFO] 2016-06-09 15:34:03,273: +SERVICE [/gazebo/clear_joint_forces] /gazebo http://cmeintel-desktop:40256/
[rosmaster.master][INFO] 2016-06-09 15:34:03,274: +SERVICE [/gazebo/clear_body_wrenches] /gazebo http://cmeintel-desktop:40256/
[rosmaster.master][INFO] 2016-06-09 15:34:03,274: +SERVICE [/gazebo/reset_simulation] /gazebo http://cmeintel-desktop:40256/
[rosmaster.master][INFO] 2016-06-09 15:34:03,275: +SERVICE [/gazebo/reset_world] /gazebo http://cmeintel-desktop:40256/
[rosmaster.master][INFO] 2016-06-09 15:34:03,275: +PARAM [/use_sim_time] by /gazebo
[rosmaster.master][INFO] 2016-06-09 15:34:03,301: +SERVICE [/gazebo/set_parameters] /gazebo http://cmeintel-desktop:40256/
[rosmaster.master][INFO] 2016-06-09 15:34:03,302: +PUB [/gazebo/parameter_descriptions] /gazebo http://cmeintel-desktop:40256/
[rosmaster.master][INFO] 2016-06-09 15:34:03,302: +PUB [/gazebo/parameter_updates] /gazebo http://cmeintel-desktop:40256/
[rosmaster.master][INFO] 2016-06-09 15:34:03,310: +PARAM [/gazebo/time_step] by /gazebo
[rosmaster.master][INFO] 2016-06-09 15:34:03,311: +PARAM [/gazebo/max_update_rate] by /gazebo
[rosmaster.master][INFO] 2016-06-09 15:34:03,311: +PARAM [/gazebo/gravity_x] by /gazebo
[rosmaster.master][INFO] 2016-06-09 15:34:03,312: +PARAM [/gazebo/gravity_y] by /gazebo
[rosmaster.master][INFO] 2016-06-09 15:34:03,313: +PARAM [/gazebo/gravity_z] by /gazebo
[rosmaster.master][INFO] 2016-06-09 15:34:03,313: +PARAM [/gazebo/auto_disable_bodies] by /gazebo
[rosmaster.master][INFO] 2016-06-09 15:34:03,314: +PARAM [/gazebo/sor_pgs_precon_iters] by /gazebo
[rosmaster.master][INFO] 2016-06-09 15:34:03,314: +PARAM [/gazebo/sor_pgs_iters] by /gazebo
[rosmaster.master][INFO] 2016-06-09 15:34:03,315: +PARAM [/gazebo/sor_pgs_w] by /gazebo
[rosmaster.master][INFO] 2016-06-09 15:34:03,315: +PARAM [/gazebo/sor_pgs_rms_error_tol] by /gazebo
[rosmaster.master][INFO] 2016-06-09 15:34:03,316: +PARAM [/gazebo/cfm] by /gazebo
[rosmaster.master][INFO] 2016-06-09 15:34:03,316: +PARAM [/gazebo/erp] by /gazebo
[rosmaster.master][INFO] 2016-06-09 15:34:03,317: +PARAM [/gazebo/contact_surface_layer] by /gazebo
[rosmaster.master][INFO] 2016-06-09 15:34:03,317: +PARAM [/gazebo/contact_max_correcting_vel] by /gazebo
[rosmaster.master][INFO] 2016-06-09 15:34:03,318: +PARAM [/gazebo/max_contacts] by /gazebo
[rosmaster.master][INFO] 2016-06-09 15:34:03,320: +PARAM [/gazebo/time_step] by /gazebo
[rosmaster.master][INFO] 2016-06-09 15:34:03,320: +PARAM [/gazebo/max_update_rate] by /gazebo
[rosmaster.master][INFO] 2016-06-09 15:34:03,321: +PARAM [/gazebo/gravity_x] by /gazebo
[rosmaster.master][INFO] 2016-06-09 15:34:03,321: +PARAM [/gazebo/gravity_y] by /gazebo
[rosmaster.master][INFO] 2016-06-09 15:34:03,321: +PARAM [/gazebo/gravity_z] by /gazebo
[rosmaster.master][INFO] 2016-06-09 15:34:03,322: +PARAM [/gazebo/auto_disable_bodies] by /gazebo
[rosmaster.master][INFO] 2016-06-09 15:34:03,322: +PARAM [/gazebo/sor_pgs_precon_iters] by /gazebo
[rosmaster.master][INFO] 2016-06-09 15:34:03,323: +PARAM [/gazebo/sor_pgs_iters] by /gazebo
[rosmaster.master][INFO] 2016-06-09 15:34:03,323: +PARAM [/gazebo/sor_pgs_w] by /gazebo
[rosmaster.master][INFO] 2016-06-09 15:34:03,324: +PARAM [/gazebo/sor_pgs_rms_error_tol] by /gazebo
[rosmaster.master][INFO] 2016-06-09 15:34:03,324: +PARAM [/gazebo/cfm] by /gazebo
[rosmaster.master][INFO] 2016-06-09 15:34:03,325: +PARAM [/gazebo/erp] by /gazebo
[rosmaster.master][INFO] 2016-06-09 15:34:03,325: +PARAM [/gazebo/contact_surface_layer] by /gazebo
[rosmaster.master][INFO] 2016-06-09 15:34:03,326: +PARAM [/gazebo/contact_max_correcting_vel] by /gazebo
[rosmaster.master][INFO] 2016-06-09 15:34:03,326: +PARAM [/gazebo/max_contacts] by /gazebo
[rosmaster.master][INFO] 2016-06-09 15:34:03,337: publisherUpdate[/clock] -> http://cmeintel-desktop:42030/
[rosmaster.master][INFO] 2016-06-09 15:34:03,337: publisherUpdate[/clock] -> http://cmeintel-desktop:42327/
[rosmaster.master][INFO] 2016-06-09 15:34:03,338: publisherUpdate[/clock] -> http://cmeintel-desktop:37173/
[rosmaster.master][INFO] 2016-06-09 15:34:03,338: publisherUpdate[/clock] -> http://cmeintel-desktop:39631/
[rosmaster.master][INFO] 2016-06-09 15:34:03,338: publisherUpdate[/clock] -> http://cmeintel-desktop:40256/
[rosmaster.master][INFO] 2016-06-09 15:34:03,339: publisherUpdate[/clock] -> http://cmeintel-desktop:38615/
[rosmaster.master][INFO] 2016-06-09 15:34:03,880: +PUB [/elevator_button1_bumper] /gazebo http://cmeintel-desktop:40256/
[rosmaster.master][INFO] 2016-06-09 15:34:03,882: +PUB [/elevator_button2_bumper] /gazebo http://cmeintel-desktop:40256/
[rosmaster.master][INFO] 2016-06-09 15:34:03,902: -SUB [/clock] /spawn_urdf_world http://cmeintel-desktop:38615/
[rosmaster.master][INFO] 2016-06-09 15:34:03,903: -PUB [/rosout] /spawn_urdf_world http://cmeintel-desktop:38615/
[rosmaster.master][INFO] 2016-06-09 15:34:03,903: -SERVICE [/spawn_urdf_world/set_logger_level] /spawn_urdf_world rosrpc://cmeintel-desktop:36562
[rosmaster.master][INFO] 2016-06-09 15:34:03,903: -SERVICE [/spawn_urdf_world/get_loggers] /spawn_urdf_world rosrpc://cmeintel-desktop:36562
[rosmaster.master][INFO] 2016-06-09 15:34:03,940: publisherUpdate[/elevator_button1_bumper] -> http://cmeintel-desktop:37173/
[rosmaster.master][INFO] 2016-06-09 15:34:03,940: publisherUpdate[/rosout] -> http://cmeintel-desktop:42030/
[rosmaster.master][INFO] 2016-06-09 15:34:04,158: +SERVICE [/world/controller_manager/list_controllers] /gazebo http://cmeintel-desktop:40256/
[rosmaster.master][INFO] 2016-06-09 15:34:04,159: +SERVICE [/world/controller_manager/list_controller_types] /gazebo http://cmeintel-desktop:40256/
[rosmaster.master][INFO] 2016-06-09 15:34:04,163: +SERVICE [/world/controller_manager/load_controller] /gazebo http://cmeintel-desktop:40256/
[rosmaster.master][INFO] 2016-06-09 15:34:04,164: +SERVICE [/world/controller_manager/unload_controller] /gazebo http://cmeintel-desktop:40256/
[rosmaster.master][INFO] 2016-06-09 15:34:04,165: +SERVICE [/world/controller_manager/switch_controller] /gazebo http://cmeintel-desktop:40256/
[rosmaster.master][INFO] 2016-06-09 15:34:04,166: +SERVICE [/world/controller_manager/reload_controller_libraries] /gazebo http://cmeintel-desktop:40256/
[rosmaster.master][INFO] 2016-06-09 15:34:04,299: +PUB [/world/joint_states] /gazebo http://cmeintel-desktop:40256/
[rosmaster.master][INFO] 2016-06-09 15:34:04,342: publisherUpdate[/world/joint_states] -> http://cmeintel-desktop:42327/
[rosmaster.master][INFO] 2016-06-09 15:34:04,355: +SUB [/world/elevator_left_joint_position_controller/command] /gazebo http://cmeintel-desktop:40256/
[rosmaster.master][INFO] 2016-06-09 15:34:04,364: +SUB [/world/elevator_right_joint_position_controller/command] /gazebo http://cmeintel-desktop:40256/
[rosmaster.master][INFO] 2016-06-09 15:34:04,370: +SUB [/world/elevator_button1_joint_position_controller/command] /gazebo http://cmeintel-desktop:40256/
[rosmaster.master][INFO] 2016-06-09 15:34:04,376: +SUB [/world/elevator_button2_joint_position_controller/command] /gazebo http://cmeintel-desktop:40256/
[rosmaster.master][INFO] 2016-06-09 15:34:19,962: +PARAM [/roslaunch/uris/host_cmeintel_desktop__37669] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:34:19,964: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:34:19,964: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:34:19,964: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:34:20,461: +PUB [/rosout] /spawn_the_box2 http://cmeintel-desktop:43100/
[rosmaster.master][INFO] 2016-06-09 15:34:20,462: publisherUpdate[/rosout] -> http://cmeintel-desktop:42030/
[rosmaster.master][INFO] 2016-06-09 15:34:20,464: +SERVICE [/spawn_the_box2/get_loggers] /spawn_the_box2 http://cmeintel-desktop:43100/
[rosmaster.master][INFO] 2016-06-09 15:34:20,464: +PUB [/rosout] /spawn_the_box3 http://cmeintel-desktop:38235/
[rosmaster.master][INFO] 2016-06-09 15:34:20,466: +SERVICE [/spawn_the_box2/set_logger_level] /spawn_the_box2 http://cmeintel-desktop:43100/
[rosmaster.master][INFO] 2016-06-09 15:34:20,467: +SERVICE [/spawn_the_box3/get_loggers] /spawn_the_box3 http://cmeintel-desktop:38235/
[rosmaster.master][INFO] 2016-06-09 15:34:20,468: +SERVICE [/spawn_the_box3/set_logger_level] /spawn_the_box3 http://cmeintel-desktop:38235/
[rosmaster.master][INFO] 2016-06-09 15:34:20,503: +PUB [/rosout] /spawn_the_box5 http://cmeintel-desktop:44056/
[rosmaster.master][INFO] 2016-06-09 15:34:20,505: +SERVICE [/spawn_the_box5/get_loggers] /spawn_the_box5 http://cmeintel-desktop:44056/
[rosmaster.master][INFO] 2016-06-09 15:34:20,506: +SERVICE [/spawn_the_box5/set_logger_level] /spawn_the_box5 http://cmeintel-desktop:44056/
[rosmaster.master][INFO] 2016-06-09 15:34:20,534: +PUB [/rosout] /spawn_the_box1 http://cmeintel-desktop:39173/
[rosmaster.master][INFO] 2016-06-09 15:34:20,536: +SERVICE [/spawn_the_box1/get_loggers] /spawn_the_box1 http://cmeintel-desktop:39173/
[rosmaster.master][INFO] 2016-06-09 15:34:20,537: +SERVICE [/spawn_the_box1/set_logger_level] /spawn_the_box1 http://cmeintel-desktop:39173/
[rosmaster.master][INFO] 2016-06-09 15:34:20,551: +PUB [/rosout] /spawn_the_box4 http://cmeintel-desktop:34454/
[rosmaster.master][INFO] 2016-06-09 15:34:20,553: +SERVICE [/spawn_the_box4/get_loggers] /spawn_the_box4 http://cmeintel-desktop:34454/
[rosmaster.master][INFO] 2016-06-09 15:34:20,554: +SERVICE [/spawn_the_box4/set_logger_level] /spawn_the_box4 http://cmeintel-desktop:34454/
[rosmaster.master][INFO] 2016-06-09 15:34:20,563: publisherUpdate[/rosout] -> http://cmeintel-desktop:42030/
[rosmaster.master][INFO] 2016-06-09 15:34:20,563: publisherUpdate[/rosout] -> http://cmeintel-desktop:42030/
[rosmaster.master][INFO] 2016-06-09 15:34:20,564: publisherUpdate[/rosout] -> http://cmeintel-desktop:42030/
[rosmaster.master][INFO] 2016-06-09 15:34:20,564: publisherUpdate[/rosout] -> http://cmeintel-desktop:42030/
[rosmaster.master][INFO] 2016-06-09 15:34:20,619: +PUB [/rosout] /spawn_ragdoll http://cmeintel-desktop:46317/
[rosmaster.master][INFO] 2016-06-09 15:34:20,621: +SERVICE [/spawn_ragdoll/get_loggers] /spawn_ragdoll http://cmeintel-desktop:46317/
[rosmaster.master][INFO] 2016-06-09 15:34:20,623: +SERVICE [/spawn_ragdoll/set_logger_level] /spawn_ragdoll http://cmeintel-desktop:46317/
[rosmaster.master][INFO] 2016-06-09 15:34:20,625: -PUB [/rosout] /spawn_ragdoll http://cmeintel-desktop:46317/
[rosmaster.master][INFO] 2016-06-09 15:34:20,625: -SERVICE [/spawn_ragdoll/set_logger_level] /spawn_ragdoll rosrpc://cmeintel-desktop:35716
[rosmaster.master][INFO] 2016-06-09 15:34:20,626: -PUB [/rosout] /spawn_the_box2 http://cmeintel-desktop:43100/
[rosmaster.master][INFO] 2016-06-09 15:34:20,626: -SERVICE [/spawn_ragdoll/get_loggers] /spawn_ragdoll rosrpc://cmeintel-desktop:35716
[rosmaster.master][INFO] 2016-06-09 15:34:20,626: -SERVICE [/spawn_the_box2/get_loggers] /spawn_the_box2 rosrpc://cmeintel-desktop:33563
[rosmaster.master][INFO] 2016-06-09 15:34:20,626: -SERVICE [/spawn_the_box2/set_logger_level] /spawn_the_box2 rosrpc://cmeintel-desktop:33563
[rosmaster.master][INFO] 2016-06-09 15:34:20,663: publisherUpdate[/rosout] -> http://cmeintel-desktop:42030/
[rosmaster.master][INFO] 2016-06-09 15:34:20,664: publisherUpdate[/rosout] -> http://cmeintel-desktop:42030/
[rosmaster.master][INFO] 2016-06-09 15:34:20,664: publisherUpdate[/rosout] -> http://cmeintel-desktop:42030/
[rosmaster.master][INFO] 2016-06-09 15:34:20,835: -PUB [/rosout] /spawn_the_box3 http://cmeintel-desktop:38235/
[rosmaster.master][INFO] 2016-06-09 15:34:20,835: -SERVICE [/spawn_the_box3/get_loggers] /spawn_the_box3 rosrpc://cmeintel-desktop:38649
[rosmaster.master][INFO] 2016-06-09 15:34:20,835: -SERVICE [/spawn_the_box3/set_logger_level] /spawn_the_box3 rosrpc://cmeintel-desktop:38649
[rosmaster.master][INFO] 2016-06-09 15:34:20,863: publisherUpdate[/rosout] -> http://cmeintel-desktop:42030/
